calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,sugars,water
360,1.1,1,0,17,1.23,186,12.68,72.83,3.9,0,12.67
69,2,2853,0,289,2.98,29,4.27,11.71,9.9,0,76.1
315,13,11,0,1652,28.12,1070,10.63,60.73,40.3,1.71,7.96
197,9,468,0,17,0.56,416,2.49,26.59,2.7,1.38,59.85
385,22,780,0,22,0.74,150,5.29,41.05,2.4,4.76,28.92
125,3.7,83,0,6,3.86,297,21.55,0,0,0,75.62
884,100,0,0,0,0,0,0,0,0,0,0
319,2.1,1435,0,587,7.83,4388,11.3,63.7,27.8,35.9,9
391,2.1,21,0,40,2.7,150,12.3,78.6,2.8,0,6.4
147,6.8,15,0,197,3.55,620,12.95,11.05,4.2,0,67.5
151,8.1,20,0,188,5.6,199,12.5,6.9,0,1.6,70.9
120,2.4,51,0,5,3.4,318,22.96,0,0,0,73.57
474,23,657,0,76,1.53,237,6.15,64.43,5.8,0,3.32
144,6.7,81,558,5,0.38,418,19.66,0,0,0,73.38
44,1,50,0,129,1.3,606,2.79,6.91,0,0,87.96
23,0.3,45,0,100,0.9,420,1.7,4.7,4,0.7,92
177,12,481,530,26,0.49,293,16.36,0,0,0,69.8
223,17,911,23,148,1.47,392,12.23,3.81,0,1.21,62.99
884,100,0,0,0,0,0,0,0,0,0,0
335,3.4,1005,0,178,14.5,81,88.32,0,0,0,4.98
148,6.7,72,0,51,0.32,292,20.53,0,0,0,70.85
76,1.5,18,0,8,0.32,400,14.48,0,0,0,83.24
282,22,1127,40,43,1.32,225,12.07,7.53,0,0,54.9
68,1,2,0,18,0.26,417,2.55,14.32,5.4,8.92,80.8
392,25,160,0,1767,44.9,1400,18.07,41.35,11.8,0.67,6.04
522,34,156,0,78,0.97,407,15.5,47.4,4.1,42.22,1.6
284,3.6,664,0,80,3.1,183,9.4,53.1,6.4,4.23,31
884,100,0,0,0,0,0,0,0,0,0,0
394,7.3,46,0,10,0.94,108,1.78,81.64,2,75,9.09
197,9,550,0,25,2.16,180,21,8,4.6,1.25,58
112,1.6,90,0,4,4.96,330,22.83,0,0,0,73.79
35,0.3,48,0,70,1.8,356,5.81,5.11,0.3,0.49,85.03
360,18,357,0,118,0.76,137,7.1,43.7,1.2,0,29.4
107,0.4,4,0,70,0.88,294,1.42,27.57,4.2,23.35,69.8
412,9.5,713,0,22,4.28,124,12,68.4,3,1.26,6.1
58,1.4,41,0,123,0.44,123,2.06,9.05,0,7.41,86.8
413,11,319,68,410,5.99,254,6.47,72.05,0.4,45.97,8.69
250,3.1,596,0,68,2.87,208,8.7,47.5,6.5,0.53,37.9
111,1.5,58,0,4,2.76,312,22.95,0,0,0,74.38
116,2.4,72,0,5,3.54,315,21.99,0,0,0,75.68
106,3.6,1038,0,4,0.8,319,18.43,0.21,0,0,74.25
257,15,460,0,116,2,181,11.82,20.08,1.6,3.97,51.3
327,1.2,20,0,241,9.24,2384,51.46,33.92,17.5,16.42,7.25
315,6.6,417,21,102,3.34,126,10.5,52.6,2.5,1.94,28.3
85,0.7,88,0,15,1.13,416,18.5,0,0,0,77.55
124,4.2,60,0,7,0.48,372,20.04,0,0,0,70.86
345,15,88,0,1196,18.54,1694,15.8,52.29,39.8,0,8.81
95,3.5,130,0,14,1,110,6.81,9.22,0.7,0.34,79.78
258,3,107,0,110,9.09,3427,14.11,55.76,12.3,37.59,14.56
19,0.4,11,0,39,2.22,436,3.15,2.33,0,0,92.88
33,0.3,31,0,10,0.29,280,0.84,7.94,0.7,0,90.26
902,100,0,10000,0,0,0,0,0,0,0,0
509,31,0,0,54,1.04,709,8.1,53.66,0,0,5.06
276,2.8,492,0,67,2.78,208,10.8,51.87,5.4,0.4,32
381,9.7,4152,0,146,1.33,404,11.27,62.09,0,0,3.85
96,2.3,53,0,26,0.25,433,17.5,0,0,0,78.9
207,11,80,8,128,0.09,199,3.5,23.6,0.7,21.22,61
41,1.7,49,49,123,0.44,123,2.88,3.29,0.4,2.47,91.53
96,1.7,52,124,10,0.56,302,20.08,0,0,0,78.08
22,0.5,33,0,108,2.14,196,3.17,2.85,2.7,0.38,92.55
365,4.7,35,0,7,2.71,287,9.42,74.26,7.3,0.64,10.37
89,0.5,68,0,118,1.4,230,19.8,0,0,0,78.5
237,8.6,129,0,86,0.26,115,4.29,37.14,0,18.57,48.9
465,18,1089,0,96,2.82,181,10.8,63.5,5,4.41,3.6
498,25,342,0,60,1.2,755,2.3,68.1,7.2,3.82,2
41,0.5,5,0,56,0.3,220,0.73,9.57,3.6,0,87.55
74,0.5,213,18,11,0.17,286,16.32,0,0,0,83.38
304,26,1225,0,8,10.83,226,15.2,2.1,0,0,53.6
148,7.7,58,14,19,1.09,237,19.66,0,0,0,72.36
884,100,0,0,0,0,0,0,0,0,0,0
360,1.1,1,0,17,4.36,186,12.68,72.83,3.9,0,12.67
337,16,16,0,646,36.96,1441,17.6,50.02,14.6,0,9.54
387,2.4,488,0,19,1.4,157,8.1,83.4,1.9,23.47,4.6
414,21,361,0,53,2.15,132,9.2,47,2.6,11.35,21
108,7,44,0,193,0.1,137,5.98,5.36,0,0,80.7
23,0.3,3,0,10,0.5,97,0.4,4.8,0.3,4.5,94.3
370,19,979,0,70,2.76,131,7.08,42.82,2.5,3.88,27.88
153,1.9,2790,1,8,2.42,235,31.1,2.76,0,2.7,53.8
